cluster_id,ticket_count,platform_distribution,probable_rca,recommended_fix,confidence_score,sample_titles
0,49,{'Jira': 49},Database deadlock,Optimized memory allocation and redeployed.,0.98,"['503 service unavailable', 'Database timeout issue', 'Email service outage']"
1,46,{'Tableau': 46},Tableau server CPU overload,Updated credentials and reran extract.,0.92,"['Slow performance on Tableau report', 'Permission denied on shared dashboard', 'Missing data in visualization']"
2,42,{'PowerBI': 42},Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,0.84,"['Incorrect KPI values displayed', 'Row-level security not applied', 'Incorrect KPI values displayed']"
3,41,{'PowerBI': 41},Dataset schema mismatch,Corrected data transformation steps.,0.82,"['Report visuals not rendering', 'Row-level security not applied', 'Gateway connection error']"
4,38,{'CloudWatch': 38},Unoptimized workload placement,Increased allocated resources.,0.76,"['RDS free storage space critically low', 'CloudWatch alarm triggered for CPU threshold', 'RDS free storage space critically low']"
5,36,{'CloudWatch': 36},High read/write operations,Increased allocated resources.,0.72,"['EC2 instance restart detected', 'CloudWatch alarm triggered for CPU threshold', 'RDS free storage space critically low']"
6,66,{'Tableau': 66},Tableau server CPU overload,Adjusted filter logic and republished dashboard.,1.0,"['Slow performance on Tableau report', 'Permission denied on shared dashboard', 'Tableau dashboard not refreshing']"
7,48,{'Tableau': 48},Data source credentials expired,Updated credentials and reran extract.,0.96,"['Dashboard filter not working', 'Extract refresh failed', 'Tableau dashboard not refreshing']"
8,26,{'PowerBI': 26},Gateway authentication failure,Corrected data transformation steps.,0.52,"['Incorrect KPI values displayed', 'Incorrect KPI values displayed', 'Incorrect KPI values displayed']"
9,35,{'Jira': 35},Memory leak issue,Resolved deadlock and restarted DB instance.,0.7,"['VPN connection failure', 'User unable to login', 'Application crash after update']"
10,33,{'CloudWatch': 33},Unoptimized workload placement,Optimized Lambda execution time.,0.66,"['CloudWatch alarm triggered for CPU threshold', 'CloudWatch alarm triggered for CPU threshold', 'RDS free storage space critically low']"
11,25,{'Jira': 25},SSL handshake failure,Optimized memory allocation and redeployed.,0.5,"['User unable to login', 'Application crash after update', 'User unable to login']"
12,37,{'Jira': 37},Memory leak issue,Renewed authentication certificate.,0.74,"['503 service unavailable', 'VPN connection failure', 'VPN connection failure']"
13,52,{'CloudWatch': 52},Unoptimized workload placement,Optimized Lambda execution time.,1.0,"['ELB target health check failures', 'Lambda timeout errors increasing', 'ELB target health check failures']"
14,40,{'Tableau': 40},Tableau server CPU overload,Optimized query and reindexed table.,0.8,"['Missing data in visualization', 'Permission denied on shared dashboard', 'Slow performance on Tableau report']"
15,25,{'Jira': 25},Expired authentication token,Renewed authentication certificate.,0.5,"['Disk space running low', 'High CPU usage on server', 'Email service outage']"
16,37,{'PowerBI': 37},Incorrect data transformation logic,Reconfigured gateway settings and validated connectivity.,0.74,"['Report visuals not rendering', 'Gateway connection error', 'Power BI refresh failed']"
17,54,{'PowerBI': 54},Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,1.0,"['Gateway connection error', 'Report visuals not rendering', 'Gateway connection error']"
18,41,{'CloudWatch': 41},Unoptimized workload placement,Increased allocated resources.,0.82,"['S3 request latency unusually high', 'RDS free storage space critically low', 'S3 request latency unusually high']"
19,29,{'Jira': 29},Firewall misconfiguration,Restarted impacted service and cleared cache.,0.58,"['Application crash after update', 'Email service outage', 'Disk space running low']"
