ticket_id,platform,priority,status,assigned_group,title,description,root_cause,resolution_summary,created_date,resolved_date,app_link,full_text,full_text_clean,cluster_id
CW-1096,CloudWatch,Low,Closed,DevOps,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,Unoptimized workload placement,Optimized Lambda execution time.,2025-02-03 13:00:00,2025-02-03 18:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1096,CloudWatch - CloudWatch alarm triggered for CPU threshold Auto-recovery event performed by AWS.,cloudwatch - cloudwatch alarm triggered for cpu threshold auto-recovery event performed by aws.,10
CW-1067,CloudWatch,Medium,In Progress,DBA Team,S3 request latency unusually high,Failure trend observed across multiple Lambda executions.,Infinite loop execution,Increased allocated resources.,2025-01-03 01:00:00,2025-01-04 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1067,CloudWatch - S3 request latency unusually high Failure trend observed across multiple Lambda executions.,cloudwatch - s3 request latency unusually high failure trend observed across multiple lambda executions.,18
JIRA-1063,Jira,Low,In Progress,DBA Team,VPN connection failure,Service unreachable due to network routing failure.,Expired authentication token,Renewed authentication certificate.,2025-02-05 04:00:00,2025-02-07 01:00:00,https://jira.example.com/browse/JIRA-1063,Jira - VPN connection failure Service unreachable due to network routing failure.,jira - vpn connection failure service unreachable due to network routing failure.,9
PBI-1133,PowerBI,Medium,Closed,Security Ops,Gateway connection error,Visuals stuck loading indefinitely.,Dataset schema mismatch,Adjusted schema and refreshed dataset successfully.,2025-02-03 14:00:00,2025-02-06 02:00:00,https://app.powerbi.com/reports/PBI-1133,PowerBI - Gateway connection error Visuals stuck loading indefinitely.,powerbi - gateway connection error visuals stuck loading indefinitely.,17
JIRA-1066,Jira,Medium,Closed,DBA Team,Disk space running low,Authentication request failed repeatedly for end users.,Network latency spike,Renewed authentication certificate.,2025-02-03 23:00:00,2025-02-06 06:00:00,https://jira.example.com/browse/JIRA-1066,Jira - Disk space running low Authentication request failed repeatedly for end users.,jira - disk space running low authentication request failed repeatedly for end users.,15
CW-1021,CloudWatch,Low,Closed,DevOps,EC2 instance restart detected,Elevated latency impacting application performance.,Unoptimized workload placement,Scaled instance type.,2025-01-10 23:00:00,2025-01-13 19:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1021,CloudWatch - EC2 instance restart detected Elevated latency impacting application performance.,cloudwatch - ec2 instance restart detected elevated latency impacting application performance.,5
TAB-1146,Tableau,Critical,Closed,Cloud Team,Dashboard filter not working,Users experiencing delay in loading components.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-15 04:00:00,2025-01-17 11:00:00,https://tableau.example.com/views/TAB-1146,Tableau - Dashboard filter not working Users experiencing delay in loading components.,tableau - dashboard filter not working users experiencing delay in loading components.,7
PBI-1090,PowerBI,Low,Resolved,Security Ops,Report visuals not rendering,Unable to connect to on-prem data gateway.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-06 23:00:00,2025-01-08 23:00:00,https://app.powerbi.com/reports/PBI-1090,PowerBI - Report visuals not rendering Unable to connect to on-prem data gateway.,powerbi - report visuals not rendering unable to connect to on-prem data gateway.,16
CW-1160,CloudWatch,Critical,Resolved,Security Ops,CloudWatch alarm triggered for CPU threshold,Elevated latency impacting application performance.,High read/write operations,Optimized Lambda execution time.,2025-02-05 17:00:00,2025-02-07 10:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1160,CloudWatch - CloudWatch alarm triggered for CPU threshold Elevated latency impacting application performance.,cloudwatch - cloudwatch alarm triggered for cpu threshold elevated latency impacting application performance.,5
PBI-1056,PowerBI,Medium,Closed,DevOps,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-20 16:00:00,2025-01-23 12:00:00,https://app.powerbi.com/reports/PBI-1056,PowerBI - Incorrect KPI values displayed Visuals stuck loading indefinitely.,powerbi - incorrect kpi values displayed visuals stuck loading indefinitely.,8
